"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.292122083E-1,-6.466655731E-1,1.239829254E1,-5.071318054E1,5.221075095E1
6.392472083E-1,-6.306877136E-1,1.223775482E1,-5.075593567E1,5.221422618E1
6.492832083E-1,-5.321331024E-1,1.238800049E1,-5.068630981E1,5.218091341E1
6.593182083E-1,-7.514171600E-1,1.246768188E1,-5.036569214E1,5.189133515E1
6.693532083E-1,-6.287155151E-1,1.259719086E1,-5.082638550E1,5.236798606E1
6.793892083E-1,-5.750274658E-1,1.255409241E1,-5.121926880E1,5.273850006E1
6.894242083E-1,-5.937843323E-1,1.236970520E1,-5.109315491E1,5.257254669E1
6.994602083E-1,-5.604801178E-1,1.235939789E1,-5.087614441E1,5.235886672E1
7.094952083E-1,-4.577465057E-1,1.269635010E1,-5.067538452E1,5.224367363E1
7.195312083E-1,-4.331779480E-1,1.273640442E1,-5.043397522E1,5.201912626E1
7.295662083E-1,-5.128154755E-1,1.268243408E1,-5.078028870E1,5.234257191E1
7.396012083E-1,-3.984642029E-1,1.262574005E1,-5.044816589E1,5.200562977E1
7.496372083E-1,-7.653121948E-1,1.264665222E1,-5.047811890E1,5.204386614E1
7.596722083E-1,-6.983509064E-1,1.249847412E1,-5.029794312E1,5.183225474E1
7.697082083E-1,-5.756244659E-1,1.254685974E1,-5.059019470E1,5.212602836E1
7.797432083E-1,-8.138237000E-1,1.264329529E1,-5.035931396E1,5.192856370E1
7.897792083E-1,-5.725536346E-1,1.233258057E1,-5.074256897E1,5.222287494E1
7.998142083E-1,-5.151290894E-1,1.220937347E1,-5.049031067E1,5.194810516E1
8.098492083E-1,-5.912437439E-1,1.244138336E1,-5.054768372E1,5.205963809E1
8.198852083E-1,-5.972423553E-1,1.237942505E1,-5.054699707E1,5.204426746E1
8.299202083E-1,-5.819854736E-1,1.241448212E1,-5.068141174E1,5.218298161E1
8.399562083E-1,-7.067260742E-1,1.249922180E1,-5.040702820E1,5.193841063E1
8.499912083E-1,-6.075248718E-1,1.242601013E1,-5.048165894E1,5.199204461E1
8.600272083E-1,-3.906288147E-1,1.272612762E1,-5.019013977E1,5.177989036E1
8.700622083E-1,-5.353965759E-1,1.256815338E1,-5.047041321E1,5.201449546E1
8.800972083E-1,-2.435626984E-1,1.255537415E1,-5.063349915E1,5.216749925E1
8.901332083E-1,-7.285938263E-1,1.251906586E1,-5.047042847E1,5.200501907E1
9.001682083E-1,-6.195545197E-1,1.279961395E1,-5.005511475E1,5.166941530E1
9.102042083E-1,-5.565929413E-1,1.274324036E1,-5.031738281E1,5.190894897E1
9.202392083E-1,-6.054134369E-1,1.274390411E1,-5.036787415E1,5.195860240E1
9.302752083E-1,-5.927829742E-1,1.286328125E1,-5.046327209E1,5.208029595E1
9.403102083E-1,-4.243125916E-1,1.302941895E1,-5.027003479E1,5.193286240E1
9.503452083E-1,-4.177360535E-1,1.283335114E1,-5.045216370E1,5.206044781E1
9.603812083E-1,-3.734550476E-1,1.283271790E1,-4.992773438E1,5.155188432E1
9.704162083E-1,-5.117340088E-1,1.277433014E1,-5.059172058E1,5.218206180E1
9.804522083E-1,-5.616874695E-1,1.293299103E1,-5.056199646E1,5.219284660E1
9.904872083E-1,-4.010429382E-1,1.289769745E1,-5.086178589E1,5.247316170E1
1.000523208E0,-6.405448914E-1,1.290398407E1,-5.053392029E1,5.215937310E1
1.010558208E0,-6.872596741E-1,1.285464478E1,-5.077186584E1,5.237839802E1
1.020594208E0,-9.469833374E-1,1.266299438E1,-5.096713257E1,5.252520163E1
1.030629208E0,-8.191108704E-1,1.249560547E1,-5.083152771E1,5.235126845E1
1.040664208E0,-9.888763428E-1,1.268952179E1,-5.061758423E1,5.219331061E1
1.050700208E0,-9.368209839E-1,1.280167389E1,-5.083235168E1,5.242793593E1
1.060735208E0,-7.389659882E-1,1.291479492E1,-5.084645081E1,5.246617537E1
1.070771208E0,-8.118343353E-1,1.270659637E1,-5.051538086E1,5.209530084E1
1.080806208E0,-7.562160492E-1,1.256718445E1,-5.037226868E1,5.192178194E1
1.090842208E0,-6.545104980E-1,1.267240906E1,-5.083938599E1,5.239906013E1
1.100877208E0,-6.097240448E-1,1.287638855E1,-5.066844177E1,5.228254142E1
1.110912208E0,-4.359455109E-1,1.283653259E1,-5.083154297E1,5.242911765E1
1.120948208E0,-3.515338898E-1,1.281221008E1,-5.073104858E1,5.232509526E1
1.130983208E0,-4.132976532E-1,1.262534332E1,-5.090116882E1,5.244520089E1
1.141019208E0,-6.044845581E-1,1.275230408E1,-5.074559021E1,5.232687251E1
1.151054208E0,-5.266609192E-1,1.266316223E1,-5.045243835E1,5.202001139E1
1.161090208E0,-5.709915161E-1,1.255477142E1,-5.049395752E1,5.203448917E1
1.171125208E0,-5.639476776E-1,1.270645905E1,-5.067910767E1,5.225078078E1
1.181160208E0,-7.674045563E-1,1.251721191E1,-5.052763367E1,5.206064990E1
1.191196208E0,-7.374248505E-1,1.271522522E1,-5.080409241E1,5.237629763E1
1.201231208E0,-6.747074127E-1,1.252275848E1,-5.058290100E1,5.211434144E1
1.211267208E0,-8.496093750E-1,1.244314575E1,-5.072184753E1,5.223274384E1
1.221302208E0,-6.532230377E-1,1.246408844E1,-5.106350708E1,5.256673812E1
1.231338208E0,-7.341728210E-1,1.245675659E1,-5.057894897E1,5.209548804E1
1.241373208E0,-5.905895233E-1,1.253012848E1,-5.081869507E1,5.234398422E1
1.251409208E0,-5.038013458E-1,1.268875122E1,-5.065177917E1,5.221935424E1
1.261444208E0,-4.820690155E-1,1.269752502E1,-5.095674133E1,5.251713072E1
1.271479208E0,-5.831775665E-1,1.262673187E1,-5.074984741E1,5.230030082E1
1.281515208E0,-4.743137360E-1,1.232272339E1,-5.026699829E1,5.175756565E1
1.291550208E0,-3.195858002E-1,1.246658325E1,-5.046572876E1,5.198372449E1
1.301586208E0,-5.817432404E-1,1.243652344E1,-5.036712646E1,5.188307016E1
1.311621208E0,-7.182712555E-1,1.239498138E1,-5.017640686E1,5.168968255E1
1.321657208E0,-4.011135101E-1,1.258319855E1,-5.054403687E1,5.208836185E1
1.331692208E0,-4.624710083E-1,1.247032928E1,-5.038899231E1,5.191120821E1
1.341727208E0,-4.838409424E-1,1.255650330E1,-5.052137756E1,5.206063261E1
1.351763208E0,-5.218524933E-1,1.274330139E1,-5.077058411E1,5.234803025E1
1.361798208E0,-6.290817261E-1,1.289477539E1,-5.059521484E1,5.221634554E1
1.371834208E0,-6.105766296E-1,1.275272369E1,-5.046502686E1,5.205500649E1
1.381869208E0,-4.322357178E-1,1.302153778E1,-5.051046753E1,5.216372882E1
1.391905208E0,-6.250476837E-1,1.287641907E1,-5.049807739E1,5.211764263E1
1.401940208E0,-6.321773529E-1,1.284468842E1,-5.086083984E1,5.246151636E1
1.411975208E0,-4.813385010E-1,1.275680542E1,-5.091871643E1,5.249460405E1
1.422011208E0,-3.780536652E-1,1.279898071E1,-5.076632690E1,5.235624871E1
1.432046208E0,-5.342292786E-1,1.272571564E1,-5.085411072E1,5.242489691E1
1.442082208E0,-5.445003510E-1,1.266583252E1,-5.082476807E1,5.238202786E1
1.452117208E0,-5.324039459E-1,1.275106049E1,-5.077073669E1,5.235017385E1
1.462153208E0,-4.250411987E-1,1.283330536E1,-5.097775269E1,5.257000718E1
1.472188208E0,-9.181594849E-2,1.274765778E1,-5.059109497E1,5.217250329E1
1.482223208E0,-2.023620605E-1,1.244737244E1,-5.065965271E1,5.216683279E1
1.492259208E0,-3.891696930E-1,1.259846497E1,-5.065388489E1,5.219855196E1
1.502294208E0,-4.262695312E-1,1.258551025E1,-5.060848999E1,5.215166376E1
1.512330208E0,-4.224300385E-1,1.265946198E1,-5.066819763E1,5.222745136E1
1.522365208E0,-4.313354492E-1,1.247171783E1,-5.045916748E1,5.197939379E1
1.532401208E0,-4.553642273E-1,1.264732361E1,-5.021060181E1,5.178094905E1
1.542436208E0,-4.044570923E-1,1.278205109E1,-5.033201599E1,5.193126466E1
1.552472208E0,-1.494903564E-1,1.268395996E1,-5.044236755E1,5.201286026E1
1.562507208E0,-2.764453888E-1,1.251403809E1,-5.068933105E1,5.221193210E1
1.572542208E0,-1.959095001E-1,1.272589874E1,-5.044873047E1,5.202942711E1
1.582578208E0,-2.548236847E-1,1.260990906E1,-5.051327515E1,5.206405389E1
1.592613208E0,-7.172012329E-2,1.257096863E1,-5.061199951E1,5.214986952E1
1.602649208E0,-1.023387909E-1,1.253350830E1,-5.079447937E1,5.231805079E1
1.612684208E0,-1.574897766E-1,1.265043640E1,-5.053295898E1,5.209259341E1
1.622720458E0,-2.464122772E-1,1.270465088E1,-5.052236938E1,5.209586050E1
1.632755458E0,3.297805786E-3,1.282507324E1,-5.045446777E1,5.205896496E1
1.642790458E0,7.945442200E-2,1.274870300E1,-5.033244324E1,5.192196629E1
1.652826458E0,-4.202270508E-2,1.310767365E1,-5.039813232E1,5.207479828E1
1.662861458E0,6.866264343E-2,1.307579803E1,-5.025143433E1,5.192482894E1
1.672897458E0,5.701446533E-2,1.290820312E1,-5.034698486E1,5.197541576E1
1.682932458E0,1.967315674E-1,1.302272797E1,-5.050761414E1,5.215984310E1
1.692968458E0,2.333831787E-2,1.274890137E1,-5.066412354E1,5.224354931E1
1.703003458E0,-1.028060913E-2,1.273829651E1,-5.061869812E1,5.219690511E1
1.713038458E0,-4.418830872E-1,1.277446747E1,-5.031234741E1,5.191064035E1
1.723074458E0,-5.521888733E-1,1.267777252E1,-5.055725098E1,5.212548758E1
1.733109458E0,-4.845428467E-1,1.246755981E1,-5.058067322E1,5.209682651E1
1.743145458E0,-7.325019836E-1,1.267356873E1,-5.053665161E1,5.210670839E1
1.753180458E0,-4.936046600E-1,1.288212585E1,-5.091722107E1,5.252386328E1
1.763216458E0,-2.254352570E-1,1.285750580E1,-5.080064392E1,5.240297414E1
1.773251458E0,-4.242610931E-1,1.263223267E1,-5.089942932E1,5.244525913E1
1.783287458E0,-4.371623993E-1,1.258439636E1,-5.082171631E1,5.235842808E1
1.793322458E0,-4.117107391E-1,1.282124329E1,-5.089160156E1,5.248341543E1
1.803357458E0,-3.143653870E-1,1.286763000E1,-5.091287231E1,5.251471503E1
1.813393458E0,-3.838138580E-1,1.311312866E1,-5.105574036E1,5.271423033E1
1.823428458E0,-6.055450439E-2,1.295920563E1,-5.113256836E1,5.274925805E1
1.833464458E0,-1.115608215E-2,1.290093231E1,-5.085951233E1,5.247022178E1
1.843499458E0,-9.974098206E-2,1.304663849E1,-5.094590759E1,5.259002020E1
1.853535458E0,-2.905807495E-1,1.299353027E1,-5.076063538E1,5.239807601E1
1.863570458E0,-1.623363495E-1,1.299879456E1,-5.099241638E1,5.262339348E1
1.873605458E0,-2.817401886E-1,1.314099884E1,-5.067517090E1,5.235205988E1
1.883641458E0,-1.865768433E-1,1.290795135E1,-5.036964417E1,5.199760641E1
1.893676458E0,-2.626914978E-1,1.286077118E1,-5.066062927E1,5.226822936E1
1.903712458E0,-5.668487549E-1,1.280442047E1,-5.048387146E1,5.208546610E1
1.913747458E0,-2.464561462E-1,1.290813446E1,-5.080410767E1,5.241887095E1
1.923783458E0,-1.924819946E-1,1.292224884E1,-5.063912964E1,5.226225230E1
1.933818458E0,-3.446598053E-1,1.278920746E1,-5.055006409E1,5.214395072E1
1.943853458E0,-3.390560150E-1,1.270041656E1,-5.070718384E1,5.227460218E1
1.953889458E0,-3.511161804E-1,1.285285950E1,-5.096302795E1,5.255996098E1
1.963924458E0,-4.770603180E-1,1.235534668E1,-5.101785278E1,5.249479480E1
1.973960458E0,-3.977947235E-1,1.256846619E1,-5.065057373E1,5.218817109E1
1.983995458E0,-2.997951508E-1,1.248287201E1,-5.095252991E1,5.246019705E1
1.994031458E0,-2.685298920E-1,1.268686676E1,-5.089451599E1,5.245264964E1
2.004066458E0,-1.833515167E-1,1.263430786E1,-5.064971924E1,5.220204413E1
2.014101458E0,-2.800464630E-1,1.258437347E1,-5.037071228E1,5.191968353E1
2.024137458E0,-1.155433655E-1,1.267134094E1,-5.067274475E1,5.223316276E1
2.034172458E0,-1.525592804E-1,1.255862427E1,-5.079441833E1,5.232413642E1
2.044208458E0,-4.989681244E-1,1.264156342E1,-5.054061890E1,5.210002162E1
2.054243458E0,-6.429386139E-1,1.249700165E1,-5.029814148E1,5.183137521E1
2.064279458E0,-5.027294159E-1,1.245225525E1,-5.059138489E1,5.210373905E1
2.074314458E0,-8.011322021E-1,1.219405365E1,-5.043026733E1,5.188977376E1
2.084350458E0,-7.175731659E-1,1.264451599E1,-5.068519592E1,5.224354297E1
2.094385458E0,-4.023895264E-1,1.258032227E1,-5.050122070E1,5.204613067E1
2.104420458E0,-3.457603455E-1,1.269972992E1,-5.021838379E1,5.180047066E1
2.114456458E0,-5.324611664E-1,1.257695770E1,-5.011009216E1,5.166705640E1
2.124491458E0,-5.558090210E-1,1.228242493E1,-5.028964233E1,5.177079304E1
