"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.524818333E-1,-3.957220078E0,2.340456390E1,-4.045643616E1,4.690582511E1
7.625188333E-1,-3.848760605E0,2.347855377E1,-4.020857239E1,4.672028188E1
7.725548333E-1,-3.666421890E0,2.332913208E1,-4.020231628E1,4.662528593E1
7.825918333E-1,-3.617486954E0,2.339064789E1,-4.026469421E1,4.670604052E1
7.926278333E-1,-3.554895401E0,2.364460754E1,-4.016688538E1,4.674487595E1
8.026638333E-1,-3.839803696E0,2.357998657E1,-4.028166199E1,4.683345120E1
8.127008333E-1,-3.909624100E0,2.367453766E1,-4.010189819E1,4.673254896E1
8.227368333E-1,-3.923830032E0,2.331712341E1,-4.029515076E1,4.672027248E1
8.327738333E-1,-3.914087296E0,2.328485870E1,-4.026913452E1,4.668091601E1
8.428098333E-1,-4.017995834E0,2.337287140E1,-4.055873108E1,4.698346597E1
8.528458333E-1,-3.912561417E0,2.331331635E1,-4.034062195E1,4.675665338E1
8.628828333E-1,-3.804132462E0,2.336529541E1,-4.046478271E1,4.688077531E1
8.729188333E-1,-3.913541794E0,2.356632996E1,-4.025053406E1,4.680590998E1
8.829558333E-1,-3.787088394E0,2.325534821E1,-4.039587402E1,4.676515687E1
8.929918333E-1,-4.013639450E0,2.343830872E1,-4.032008362E1,4.680996432E1
9.030278333E-1,-4.127393723E0,2.355167389E1,-4.014979553E1,4.673031996E1
9.130648333E-1,-4.053960800E0,2.354238129E1,-3.993310547E1,4.653311968E1
9.231008333E-1,-4.270700455E0,2.332565308E1,-4.005867004E1,4.655128376E1
9.331368333E-1,-3.995801926E0,2.330605316E1,-4.014653015E1,4.659272937E1
9.431738333E-1,-4.001638412E0,2.324406433E1,-4.017027283E1,4.658272701E1
9.532098333E-1,-3.984819412E0,2.315673828E1,-3.983509827E1,4.624876612E1
9.632468333E-1,-3.997716904E0,2.288639832E1,-4.007310486E1,4.632086680E1
9.732828333E-1,-4.035520554E0,2.310765076E1,-3.955909729E1,4.599098964E1
9.833188333E-1,-4.091974258E0,2.311206818E1,-3.995027161E1,4.633504236E1
9.933558333E-1,-4.219572067E0,2.306762695E1,-3.987934875E1,4.626318903E1
1.003391833E0,-4.063840866E0,2.293979645E1,-3.982983398E1,4.614287311E1
1.013428833E0,-4.026319504E0,2.311277008E1,-4.001852417E1,4.638850791E1
1.023464833E0,-4.001405716E0,2.311483002E1,-3.976531982E1,4.616911603E1
1.033500833E0,-4.162096024E0,2.312344360E1,-3.976765442E1,4.618964197E1
1.043537833E0,-4.428659439E0,2.312669373E1,-3.991033936E1,4.633888405E1
1.053573833E0,-4.296106339E0,2.339875793E1,-3.962155151E1,4.621499483E1
1.063610833E0,-4.315210342E0,2.341618347E1,-3.994328308E1,4.650166182E1
1.073646833E0,-4.358327866E0,2.304546356E1,-3.994760132E1,4.632385200E1
1.083682833E0,-4.362577438E0,2.304926300E1,-3.978128052E1,4.618279860E1
1.093719833E0,-4.375555038E0,2.327651215E1,-3.990441895E1,4.640370837E1
1.103755833E0,-4.129915237E0,2.316607666E1,-3.986546326E1,4.629231544E1
1.113791833E0,-4.348840714E0,2.308723450E1,-3.995314026E1,4.634852995E1
1.123828833E0,-4.148683548E0,2.304714203E1,-4.013304138E1,4.646550701E1
1.133864833E0,-4.399888992E0,2.284053802E1,-3.985897827E1,4.614961917E1
1.143901833E0,-4.489374161E0,2.295208740E1,-4.007829285E1,4.640282700E1
1.153937833E0,-4.490640640E0,2.302303314E1,-4.007931519E1,4.643896440E1
1.163973833E0,-4.484571457E0,2.302183533E1,-4.015562439E1,4.650366064E1
1.174010833E0,-4.301778793E0,2.285328674E1,-3.987309265E1,4.615887275E1
1.184046833E0,-4.144876480E0,2.309342957E1,-3.963095093E1,4.605538798E1
1.194083833E0,-4.301683426E0,2.307795715E1,-3.950265503E1,4.595167397E1
1.204119833E0,-4.424177170E0,2.300517273E1,-3.972920227E1,4.612180427E1
1.214156000E0,-4.211694717E0,2.285502625E1,-3.974082947E1,4.603720369E1
1.224193000E0,-4.333147049E0,2.285731506E1,-3.945146179E1,4.580011848E1
1.234229000E0,-4.398332596E0,2.296091461E1,-3.924087524E1,4.567707542E1
1.244266000E0,-4.553171158E0,2.295716858E1,-3.932286072E1,4.576079470E1
